period,start,end,approve,disapprove,no_opinion,president
2001 Sep 7-10,2001-09-07,2001-09-10,51,39,10,Bush
2001 Aug 24-26,2001-08-24,2001-08-26,55,36,9,Bush
2001 Aug 16-19,2001-08-16,2001-08-19,57,34,9,Bush
2001 Aug 10-12,2001-08-10,2001-08-12,57,35,8,Bush
2001 Aug 3-5,2001-08-03,2001-08-05,55,35,10,Bush
2001 Jul 19-22,2001-07-19,2001-07-22,56,33,11,Bush
2001 Jul 10-11,2001-07-10,2001-07-11,57,35,8,Bush
2001 Jun 28-Jul 1,2001-06-28,2001-07-01,52,34,14,Bush
2001 Jun 11-17,2001-06-11,2001-06-17,55,33,12,Bush
2001 Jun 8-10,2001-06-08,2001-06-10,55,35,10,Bush
2001 May 18-20,2001-05-18,2001-05-20,56,36,8,Bush
2001 May 10-14,2001-05-10,2001-05-14,56,31,13,Bush
2001 May 7-9,2001-05-07,2001-05-09,53,33,14,Bush
2001 Apr 20-22,2001-04-20,2001-04-22,62,29,9,Bush
2001 Apr 6-8,2001-04-06,2001-04-08,59,30,11,Bush
2001 Mar 26-28,2001-03-26,2001-03-28,53,29,18,Bush
2001 Mar 9-11,2001-03-09,2001-03-11,58,29,13,Bush
2001 Mar 5-7,2001-03-05,2001-03-07,63,22,15,Bush
2001 Feb 19-21,2001-02-19,2001-02-21,62,21,17,Bush
2001 Feb 9-11,2001-02-09,2001-02-11,57,25,18,Bush
2001 Feb 1-4,2001-02-01,2001-02-04,57,25,18,Bush
2017 Jan 16-19,2017-01-16,2017-01-19,59,37,4,Obama
2017 Jan 9-15,2017-01-09,2017-01-15,57,39,4,Obama
2017 Jan 2-8,2017-01-02,2017-01-08,55,42,3,Obama
2016 Dec 26-2017 Jan 1,2016-12-26,2017-01-01,55,40,4,Obama
2016 Dec 19-25,2016-12-19,2016-12-25,56,40,3,Obama
2016 Dec 12-18,2016-12-12,2016-12-18,56,40,4,Obama
2016 Dec 5-11,2016-12-05,2016-12-11,57,40,3,Obama
2016 Nov 28-Dec 4,2016-11-28,2016-12-04,54,43,3,Obama
2016 Nov 21-27,2016-11-21,2016-11-27,56,40,4,Obama
2016 Nov 14-20,2016-11-14,2016-11-20,56,41,3,Obama
2016 Nov 7-13,2016-11-07,2016-11-13,57,41,3,Obama
2016 Oct 31-Nov 6,2016-10-31,2016-11-06,53,45,2,Obama
2016 Oct 24-30,2016-10-24,2016-10-30,54,44,3,Obama
2016 Oct 17-23,2016-10-17,2016-10-23,55,42,3,Obama
2016 Oct 10-16,2016-10-10,2016-10-16,54,43,4,Obama
2016 Oct 3-9,2016-10-03,2016-10-09,52,45,3,Obama
2016 Sep 26-Oct 2,2016-09-26,2016-10-02,53,44,4,Obama
2016 Sep 19-25,2016-09-19,2016-09-25,53,43,4,Obama
2016 Sep 12-18,2016-09-12,2016-09-18,52,44,4,Obama
2016 Sep 5-11,2016-09-05,2016-09-11,51,45,4,Obama
2016 Aug 29-Sep 4,2016-08-29,2016-09-04,52,44,5,Obama
2016 Aug 22-28,2016-08-22,2016-08-28,51,45,5,Obama
2016 Aug 15-21,2016-08-15,2016-08-21,51,44,4,Obama
2016 Aug 8-14,2016-08-08,2016-08-14,52,44,4,Obama
2016 Aug 1-7,2016-08-01,2016-08-07,52,45,4,Obama
2016 Jul 25-31,2016-07-25,2016-07-31,53,44,4,Obama
2016 Jul 18-24,2016-07-18,2016-07-24,49,47,4,Obama
2016 Jul 11-17,2016-07-11,2016-07-17,49,46,5,Obama
2016 Jul 4-10,2016-07-04,2016-07-10,51,45,4,Obama
2016 Jun 27-Jul 3,2016-06-27,2016-07-03,51,45,5,Obama
2016 Jun 20-26,2016-06-20,2016-06-26,50,46,5,Obama
2016 Jun 13-19,2016-06-13,2016-06-19,53,44,4,Obama
2016 Jun 6-12,2016-06-06,2016-06-12,53,43,4,Obama
2016 May 30-Jun 5,2016-05-30,2016-06-05,51,44,5,Obama
2016 May 23-29,2016-05-23,2016-05-29,52,44,4,Obama
2016 May 16-22,2016-05-16,2016-05-22,51,45,5,Obama
2016 May 9-15,2016-05-09,2016-05-15,51,45,4,Obama
2016 May 2-8,2016-05-02,2016-05-08,52,44,4,Obama
2016 Apr 25-May 1,2016-04-25,2016-05-01,51,46,4,Obama
2016 Apr 18-24,2016-04-18,2016-04-24,51,45,4,Obama
2016 Apr 11-17,2016-04-11,2016-04-17,48,47,4,Obama
2016 Apr 4-10,2016-04-04,2016-04-10,51,45,4,Obama
2016 Mar 28-Apr 3,2016-03-28,2016-04-03,51,45,4,Obama
2016 Mar 21-27,2016-03-21,2016-03-27,53,44,3,Obama
2016 Mar 14-20,2016-03-14,2016-03-20,50,46,4,Obama
2016 Mar 7-13,2016-03-07,2016-03-13,51,45,4,Obama
2016 Feb 29-Mar 6,2016-02-29,2016-03-06,50,46,4,Obama
2016 Feb 22-28,2016-02-22,2016-02-28,48,47,5,Obama
2016 Feb 15-21,2016-02-15,2016-02-21,48,48,4,Obama
2016 Feb 8-14,2016-02-08,2016-02-14,48,48,4,Obama
2016 Feb 1-7,2016-02-01,2016-02-07,47,50,3,Obama
2016 Jan 25-31,2016-01-25,2016-01-31,48,48,4,Obama
2016 Jan 18-24,2016-01-18,2016-01-24,48,47,5,Obama
2016 Jan 11-17,2016-01-11,2016-01-17,48,47,5,Obama
2016 Jan 4-10,2016-01-04,2016-01-10,47,49,4,Obama
2015 Dec 28-2016 Jan 3,2015-12-28,2016-01-03,45,52,4,Obama
2015 Dec 21-27,2015-12-21,2015-12-27,48,49,3,Obama
2015 Dec 14-20,2015-12-14,2015-12-20,45,51,5,Obama
2015 Dec 7-13,2015-12-07,2015-12-13,45,50,5,Obama
2015 Nov 30-Dec 6,2015-11-30,2015-12-06,47,49,4,Obama
2015 Nov 23-29,2015-11-23,2015-11-29,46,49,5,Obama
2015 Nov 16-22,2015-11-16,2015-11-22,44,52,4,Obama
2015 Nov 9-15,2015-11-09,2015-11-15,49,47,4,Obama
2015 Nov 2-8,2015-11-02,2015-11-08,49,48,3,Obama
2015 Oct 26-Nov 1,2015-10-26,2015-11-01,47,49,4,Obama
2015 Oct 19-25,2015-10-19,2015-10-25,46,50,4,Obama
2015 Oct 12-18,2015-10-12,2015-10-18,46,50,4,Obama
2015 Oct 5-11,2015-10-05,2015-10-11,46,50,5,Obama
2015 Sep 28-Oct 4,2015-09-28,2015-10-04,47,49,5,Obama
2015 Sep 21-27,2015-09-21,2015-09-27,48,49,3,Obama
2015 Sep 14-20,2015-09-14,2015-09-20,46,51,4,Obama
2015 Sep 7-13,2015-09-07,2015-09-13,46,49,5,Obama
2015 Aug 31-Sep 6,2015-08-31,2015-09-06,46,50,4,Obama
2015 Aug 24-30,2015-08-24,2015-08-30,46,50,4,Obama
2015 Aug 17-23,2015-08-17,2015-08-23,44,51,5,Obama
2015 Aug 10-16,2015-08-10,2015-08-16,46,49,5,Obama
2015 Aug 3-9,2015-08-03,2015-08-09,46,50,4,Obama
2015 Jul 27-Aug 2,2015-07-27,2015-08-02,46,49,5,Obama
2015 Jul 20-26,2015-07-20,2015-07-26,46,50,5,Obama
2015 Jul 13-19,2015-07-13,2015-07-19,46,48,6,Obama
2015 Jul 6-12,2015-07-06,2015-07-12,46,49,5,Obama
2015 Jun 29-Jul 5,2015-06-29,2015-07-05,46,49,5,Obama
2015 Jun 22-28,2015-06-22,2015-06-28,47,49,5,Obama
2015 Jun 15-21,2015-06-15,2015-06-21,45,50,6,Obama
2015 Jun 8-14,2015-06-08,2015-06-14,45,49,5,Obama
2015 Jun 1-7,2015-06-01,2015-06-07,46,49,5,Obama
2015 May 25-31,2015-05-25,2015-05-31,47,49,5,Obama
2015 May 18-24,2015-05-18,2015-05-24,46,49,5,Obama
2015 May 11-17,2015-05-11,2015-05-17,47,49,5,Obama
