strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,long,lat,spatial_country,president,avg_ppl_killed,avg_civ_killed
YEM267,2017-03-31T00:00:00Z,NA,Yemen,Unknown,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strikes,10,10,NA,NA,NA,Trump,0,0
YEM268,2017-04-02T00:00:00Z,NA,Yemen,Shabwah,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strikes,20,20,NA,NA,NA,Trump,0,0
YEM269,2017-04-18T00:00:00Z,NA,Yemen,Marib,3,4,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,3.5,0
YEM270,2017-04-23T00:00:00Z,al Said,Yemen,Shabwah,3,8,3,8,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,5.5,5.5
YEM271,2017-04-24T00:00:00Z,NA,Yemen,Unknown,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,8,8,NA,NA,NA,Trump,0,0
T002,2017-04-26T00:00:00Z,Zuwai,Pakistan,North Waziristan,7,11,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan,Trump,9,1.5
YEM272,2017-04-29T00:00:00Z,NA,Yemen,Marib,4,5,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,4.5,0
YEM273,2017-04-29T00:00:00Z,NA,Yemen,Shabwah,3,3,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,1,1,NA,NA,NA,Trump,3,0
SOM046,2017-05-04T00:00:00Z,"Dar es Salam village, Lower Shabelle",Somalia,NA,4,9,0,0,0,0,0,0,Confirmed,FALSE,FALSE,"Ground operation - Somali-led or joint operation, ambushed before reaching target",1,1,44.2479015,1.8766458,Somalia,Trump,6.5,0
YEM274,2017-05-23T00:00:00Z,Al Sirim area,Yemen,Marib,7,12,5,5,0,1,5,6,Confirmed,FALSE,FALSE,"US air and ground operation
Special forces raid with air strikes, possibly drone",1,1,48.516388,15.552727,Yemen,Trump,9.5,5
T003,2017-05-24T00:00:00Z,NA,Pakistan,North Waziristan,2,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trump,2.5,0
SOM047,2017-06-11T00:00:00Z,"Sakow, Middle Juba region",Somalia,NA,8,8,0,0,0,0,0,0,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,41.6011814,2.0780488,Somalia,Trump,8,0
T004,2017-06-13T00:00:00Z,Hangu district,Pakistan,Khyber Pakhtunkhwa province,1,3,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,70.90712359999999,33.443839,Pakistan,Trump,2,0
YEM275,2017-06-16T00:00:00Z,Al Naqba,Yemen,Shabwah,2,3,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,2.5,0
YEM276,2017-07-01T00:00:00Z,Al Wadei,Yemen,Abyan,2,2,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,2,0
SOM048,2017-07-02T00:00:00Z,"Kunyo Barrow, Lower Shabelle",Somalia,NA,1,1,0,0,0,0,0,0,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,44.2479015,1.8766458,Somalia,Trump,1,0
SOM049,2017-07-04T00:00:00Z,"Luglaw, Jubba region",Somalia,NA,10,13,0,0,0,0,10,10,Confirmed,TRUE,FALSE,"Air operation - Somali ground force, US air support",1,1,41.6011814,0.224021,Somalia,Trump,11.5,0
SOM050,2017-07-13T00:00:00Z,"Kunyo Barrow, Lower Shabelle",Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,FALSE,FALSE,Ground operation - US-Somali air assault,1,1,44.2479015,1.8766458,Somalia,Trump,0,0
SOM051,2017-07-15T00:00:00Z,Southern Somalia,Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,"Air operation - Somali ground force, US air support",1,1,46.199616,5.152149,Somalia,Trump,0,0
SOM052,2017-07-20T00:00:00Z,Southern Somalia,Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,"Air operation - Somali ground force, US air support",1,1,46.199616,5.152149,Somalia,Trump,0,0
SOM053,2017-07-21T00:00:00Z,Southern Somalia,Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,"Air operation - Somali ground force, US air support",1,1,46.199616,5.152149,Somalia,Trump,0,0
SOM054,2017-07-28T00:00:00Z,Southern Somalia,Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,"Air operation - Somali ground force, US air support",1,1,46.199616,5.152149,Somalia,Trump,0,0
SOM055,2017-07-29T00:00:00Z,Southern Somalia,Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,"Air operation - Somali ground force, US air support",1,1,46.199616,5.152149,Somalia,Trump,0,0
SOM056,2017-07-29T00:00:00Z,"Tortoroow, Lower Shabelle",Somalia,NA,1,1,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,44.2479015,1.8766458,Somalia,Trump,1,0
SOM057,2017-08-10T00:00:00Z,Banadiir region,Somalia,NA,0,1,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,2,2,45.3369459,2.1187375,Somalia,Trump,0.5,0
YEM277,2017-08-13T00:00:00Z,Marakishah,Yemen,Abyan,0,3,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,1.5,0
SOM058,2017-08-16T00:00:00Z,"Jillib, Middle Juba",Somalia,NA,7,7,0,7,0,0,0,0,Confirmed,TRUE,FALSE,"Air operation - drone or airstrike, US-Somali ground troops",1,1,43.0194897,0.5507548,Somalia,Trump,7,3.5
SOM059,2017-08-25T00:00:00Z,"Bariire, Lower Shabelle region",Somalia,NA,0,10,0,10,0,3,0,0,Confirmed,FALSE,FALSE,Ground operation - Somali-led or joint operation,1,1,44.8961366,2.0473184,Somalia,Trump,5,5
SOM060,2017-08-31T00:00:00Z,"Barawe, Lower Shabelle",Somalia,NA,1,1,0,0,0,0,1,1,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,44.0318162,1.1161954,Somalia,Trump,1,0
SOM061,2017-09-05T00:00:00Z,Bay region,Somalia,NA,3,3,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,43.483738,2.4825193,Somalia,Trump,3,0
SOM062,2017-09-07T00:00:00Z,"Barawe, Lower Shabelle",Somalia,NA,1,1,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,44.0318162,1.1161954,Somalia,Trump,1,0
YEM278,2017-09-09T00:00:00Z,NA,Yemen,Bayda,2,7,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,3,3,NA,NA,NA,Trump,4.5,0
SOM063,2017-09-13T00:00:00Z,Southern Somalia,Somalia,NA,6,6,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,46.199616,5.152149,Somalia,Trump,6,0
T005,2017-09-15T00:00:00Z,Ghuz Ghari village,Pakistan,Kurram Agency,3,3,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,70.0049087,33.77967390000001,Pakistan,Trump,3,0
YEM279,2017-09-16T00:00:00Z,NA,Yemen,Unknown,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,8,6,NA,NA,NA,Trump,0,0
SOM064,2017-09-30T00:00:00Z,Southern Somalia,Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,46.199616,5.152149,Somalia,Trump,0,0
SOM065,2017-10-02T00:00:00Z,Southern Somalia,Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,46.199616,5.152149,Somalia,Trump,0,0
YEM280,2017-10-04T00:00:00Z,NA,Yemen,Bayda,1,2,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,1.5,0
